Year,1,2,3,4,5,6,7,8,9,10,11,12
502,29,30,29,30,30,29,30,30,29,30,29,30
503,29,29,30,29,30,29,30,30,29,30,29,30
504,29,30,30,29,30,29,29,30,29,30,29,30
505,30,29,30,30,29,30,29,29,30,29,30,29
506,30,30,30,29,30,29,30,29,29,30,29,29
507,30,30,30,29,30,30,29,30,29,30,29,29
508,29,30,30,29,30,30,29,30,30,29,29,30
509,29,29,30,30,29,30,29,30,30,30,29,29
510,30,29,30,29,30,29,29,30,30,30,29,30
511,29,30,29,30,29,30,29,29,30,30,29,30
512,30,29,30,30,29,29,29,30,29,30,29,30
513,30,29,30,30,29,30,29,29,30,29,30,29
514,30,29,30,30,30,29,30,29,29,30,29,30
515,29,30,29,30,30,29,30,29,30,30,29,29
516,30,29,30,29,30,29,30,29,30,30,30,29
517,30,29,29,30,29,29,30,29,30,30,30,30
518,29,30,29,29,30,29,29,30,29,30,30,30
519,29,30,29,30,29,29,30,29,29,30,30,30
520,29,30,30,29,30,29,29,30,29,30,29,30
521,29,30,30,30,29,29,30,29,30,29,30,29
522,30,29,30,30,29,30,29,30,29,30,30,29
523,29,30,29,30,29,30,29,30,30,30,29,30
524,29,29,30,29,29,30,29,30,30,30,30,29
525,30,29,29,30,29,29,30,29,30,30,30,29
526,30,30,29,29,30,29,29,30,29,30,30,29
527,30,30,29,30,29,30,29,29,30,29,30,30
528,29,30,29,30,30,29,30,29,30,29,30,29
529,29,30,29,30,30,30,29,30,29,30,29,30
530,29,29,30,29,30,30,29,30,30,29,30,29
